Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
Hong Kong,Unemployment Rate,2021-07-31T00:00:00,4.9,Monthly,HKUERATE,2022-05-19T09:11:00
Hong Kong,Unemployment Rate,2021-08-31T00:00:00,4.6,Monthly,HKUERATE,2022-05-19T09:11:00
Hong Kong,Unemployment Rate,2021-09-30T00:00:00,4.4,Monthly,HKUERATE,2022-05-19T09:11:00
Hong Kong,Unemployment Rate,2021-10-31T00:00:00,4.3,Monthly,HKUERATE,2021-12-16T08:31:00
Hong Kong,Unemployment Rate,2021-11-30T00:00:00,4.1,Monthly,HKUERATE,2022-01-18T08:30:00
Hong Kong,Unemployment Rate,2021-12-31T00:00:00,4,Monthly,HKUERATE,2022-05-19T09:11:00
Hong Kong,Unemployment Rate,2022-01-31T00:00:00,3.9,Monthly,HKUERATE,2022-03-17T08:31:00
Hong Kong,Unemployment Rate,2022-02-28T00:00:00,4.5,Monthly,HKUERATE,2022-04-21T08:31:00
Hong Kong,Unemployment Rate,2022-03-31T00:00:00,5,Monthly,HKUERATE,2022-05-19T08:30:00
Hong Kong,Unemployment Rate,2022-04-30T00:00:00,5.4,Monthly,HKUERATE,2022-06-17T08:30:00
Hong Kong,Unemployment Rate,2022-05-31T00:00:00,5.1,Monthly,HKUERATE,2022-07-19T08:30:00
Hong Kong,Unemployment Rate,2022-06-30T00:00:00,4.7,Monthly,HKUERATE,2022-08-17T08:30:00
Hong Kong,Unemployment Rate,2022-07-31T00:00:00,4.3,Monthly,HKUERATE,2022-09-19T08:31:00
Hong Kong,Unemployment Rate,2022-08-31T00:00:00,4.1,Monthly,HKUERATE,2022-10-20T08:30:00
Hong Kong,Unemployment Rate,2022-09-30T00:00:00,3.9,Monthly,HKUERATE,2022-11-17T08:30:00
